Attack Type,Year,Month,Amount,Date
Bombing/Explosion,2008,3,230,03/01/08
Bombing/Explosion,2008,4,264,04/01/08
Bombing/Explosion,2008,5,256,05/01/08
Bombing/Explosion,2008,6,261,06/01/08
Bombing/Explosion,2008,7,307,07/01/08
Bombing/Explosion,2008,8,266,08/01/08
Bombing/Explosion,2008,9,164,09/01/08
Bombing/Explosion,2008,10,171,10/01/08
Bombing/Explosion,2008,11,218,11/01/08
Bombing/Explosion,2008,12,233,12/01/08
Bombing/Explosion,2009,1,196,01/01/09
Bombing/Explosion,2009,2,190,02/01/09
Bombing/Explosion,2009,3,228,03/01/09
Bombing/Explosion,2009,4,221,04/01/09
Bombing/Explosion,2009,5,235,05/01/09
Bombing/Explosion,2009,6,229,06/01/09
Bombing/Explosion,2009,7,239,07/01/09
Bombing/Explosion,2009,8,217,08/01/09
Bombing/Explosion,2009,9,180,09/01/09
Bombing/Explosion,2009,10,227,10/01/09
Bombing/Explosion,2009,11,182,11/01/09
Bombing/Explosion,2009,12,224,12/01/09
Bombing/Explosion,2010,1,145,01/01/10
Bombing/Explosion,2010,2,215,02/01/10
Bombing/Explosion,2010,3,197,03/01/10
Bombing/Explosion,2010,4,223,04/01/10
Bombing/Explosion,2010,5,224,05/01/10
Bombing/Explosion,2010,6,203,06/01/10
Bombing/Explosion,2010,7,220,07/01/10
Bombing/Explosion,2010,8,209,08/01/10
Bombing/Explosion,2010,9,251,09/01/10
Bombing/Explosion,2010,10,177,10/01/10
Bombing/Explosion,2010,11,257,11/01/10
Bombing/Explosion,2010,12,189,12/01/10
Bombing/Explosion,2011,1,199,01/01/11
Bombing/Explosion,2011,2,192,02/01/11
Bombing/Explosion,2011,3,218,03/01/11
Bombing/Explosion,2011,4,220,04/01/11
Bombing/Explosion,2011,5,211,05/01/11
Bombing/Explosion,2011,6,177,06/01/11
Bombing/Explosion,2011,7,171,07/01/11
Bombing/Explosion,2011,8,181,08/01/11
Bombing/Explosion,2011,9,152,09/01/11
Bombing/Explosion,2011,10,181,10/01/11
Bombing/Explosion,2011,11,395,11/01/11
Bombing/Explosion,2011,12,293,12/01/11
Bombing/Explosion,2012,1,437,01/01/12
Bombing/Explosion,2012,2,329,02/01/12
Bombing/Explosion,2012,3,384,03/01/12
Bombing/Explosion,2012,4,445,04/01/12
Bombing/Explosion,2012,5,545,05/01/12
Bombing/Explosion,2012,6,462,06/01/12
Bombing/Explosion,2012,7,420,07/01/12
Bombing/Explosion,2012,8,465,08/01/12
Bombing/Explosion,2012,9,382,09/01/12
Bombing/Explosion,2012,10,449,10/01/12
Bombing/Explosion,2012,11,438,11/01/12
Bombing/Explosion,2012,12,327,12/01/12
